idx,filename,subclass,intervals,question
1,100389.mp3,Bird Chirp,"[0.99-1.39, 3.47-3.83, 9.59-9.97]",In which time segments does the sound 'bird chirp' happen?
2,100389.mp3,Wood sounds,[0.00-19.28],What time ranges correspond to occurrences of the event 'wood sounds'?
3,100481.mp3,Bird Chirp,"[0.00-17.30, 20.73-22.05]",Provide all time ranges where the 'bird chirp' sound is present.
4,100481.mp3,Machine sounds,[0.00-23.70],What time intervals does the sound 'machine sounds' occur in?
5,100492.mp3,Train sound,[0.23-26.62],Identify the time periods containing occurrences of the sound 'train sound'.
6,100495.mp3,Phone Dialing,[19.43-19.59],Identify every interval in which the event 'phone dialing' takes place.
7,100495.mp3,Raining,[0.00-22.40],List every time segment where the sound 'raining' is present.
8,101488.mp3,Water Dripping,[0.00-19.16],Show the time intervals in which the sound 'water dripping' is active.
9,101508.mp3,Raining,[0.00-18.31],Identify all time segments where the sound 'raining' takes place.
10,101508.mp3,Thunder,[0.00-18.31],Provide all time ranges where the event 'thunder' is present.
11,101692.mp3,Raining,[0.00-28.47],Identify all time segments where the 'raining' sound takes place.
12,101692.mp3,Thunder,"[1.36-2.79, 4.72-5.18, 6.38-11.36, 19.65-20.43, 22.92-23.80]",Identify every interval in which the 'thunder' sound takes place.
13,101782.mp3,Jackhammer,[0.05-26.66],List every time segment where the event 'jackhammer' is present.
14,101811.mp3,Human Speech,[3.28-17.63],In which time segments does the sound 'human speech' happen?
15,101811.mp3,Shouting,[0.04-3.25],Provide all time ranges where the event 'shouting' is present.
16,101814.mp3,Atmospheric Sounds,[0.00-11.75],Specify the time ranges in which the 'atmospheric sounds' sound is detected.
17,101814.mp3,Shouting,[0.00-20.02],In which ranges does the sound 'shouting' occur?
18,101814.mp3,Traffic Noise,[13.45-20.02],In which ranges does the 'traffic noise' sound occur?
19,101948.mp3,Thunder,"[0.29-10.27, 12.28-15.60]",In which ranges does the audio event 'thunder' occur?
20,102172.mp3,Raining,[0.03-28.37],Identify all time segments where the event 'raining' takes place.
21,102409.mp3,Beeping,[17.69-17.99],What time intervals does sound type 'beeping' occur in?
22,102409.mp3,Bicycle,[0.87-10.10],List all time intervals during which sound type 'bicycle' appears.
23,102409.mp3,Clapping,[0.00-28.88],Provide all time ranges where sound type 'clapping' is present.
24,102409.mp3,Ship_Boat sound,"[0.87-10.10, 11.89-15.41]",List all time intervals during which the event 'ship_boat sound' appears.
25,102411.mp3,Crying,[20.57-21.61],Identify the time periods containing occurrences of sound type 'crying'.
26,102411.mp3,Human Speech,[0.00-22.29],Provide the time segments in which the 'human speech' sound occurs.
27,102411.mp3,Machine sounds,[18.37-20.57],Provide all time ranges where the audio event 'machine sounds' is present.
28,102411.mp3,Ship_Boat sound,[0.00-22.29],In which ranges does the sound 'ship_boat sound' occur?
29,102545.mp3,Shouting,"[0.00-3.41, 4.44-7.99, 9.60-13.15, 14.18-17.72, 19.45-22.97, 24.03-25.34]",Specify the time ranges in which sound type 'shouting' is detected.
30,102568.mp3,Washing Machine,[0.00-28.59],In which ranges does sound type 'washing machine' occur?
