filename,question,A,B,C,D,correct_label
195503.mp3,Which sound event starts earliest in the given audio?,Thunder,Distant Sounds,Metallic Sounds,Saxophone,A
23387.mp3,Which sound event starts earliest in the given audio?,Human Speech,Dog Barking,Airplane sound,Trumpet,B
275387.mp3,Which sound event starts earliest in the given audio?,Bicycle,Dog Barking,Raining,Trumpet,C
340315.mp3,Which sound event starts earliest in the given audio?,Atmospheric Sounds,Raining,Traffic Noise,Human Speech,D
273822.mp3,Which sound event starts earliest in the given audio?,Monotone Sounds,Pig Oink,Airplane sound,Rattling,A
756720.mp3,Which sound event starts earliest in the given audio?,Sheep_Goat Bleat,Vehicle engine,Thud,Siren,B
465492.mp3,Which sound event starts earliest in the given audio?,Explosion,Airplane sound,Atmospheric Sounds,Hiccup,C
327395.mp3,Which sound event starts earliest in the given audio?,Camera Shutter,Distant Sounds,Pig Oink,Human Speech,D
512125.mp3,Which sound event starts earliest in the given audio?,ATM Machine,Human Speech,Airplane sound,Door sounds,A
746442.mp3,Which sound event starts earliest in the given audio?,Airplane engine,Clapping,Water Dripping,Monotone Sounds,B
695880.mp3,Which sound event starts earliest in the given audio?,ATM Machine,Stream_River,Atmospheric Sounds,Guitar Playing,C
143650.mp3,Which sound event starts earliest in the given audio?,Human Speech,Fire burning,Hissing,Singing,D
87594.mp3,Which sound event starts earliest in the given audio?,Clapping,Elevator,Distant Sounds,Metallic Sounds,A
724583.mp3,Which sound event starts earliest in the given audio?,Airplane engine,Bell Ringing,Sheep_Goat Bleat,Waves,B
547832.mp3,Which sound event starts earliest in the given audio?,Grinding,Siren,Atmospheric Sounds,Bus sound,C
699261.mp3,Which sound event starts earliest in the given audio?,Alarm sound,White noise,Wind,Breathing,D
455903.mp3,Which sound event starts earliest in the given audio?,Power Drill,Cat Meowing,Coughing,Bicycle,A
187301.mp3,Which sound event starts earliest in the given audio?,Saxophone,Human Speech,Monotone Sounds,Train sound,B
784669.mp3,Which sound event starts earliest in the given audio?,Wind,Footsteps,Piano Playing,Rooster Crow,C
248321.mp3,Which sound event starts earliest in the given audio?,Footsteps,Electronic Beep,Atmospheric Sounds,Power Drill,D
520456.mp3,Which sound event starts earliest in the given audio?,Sheep_Goat Bleat,Rustling,Wood sounds,Atmospheric Sounds,A
650527.mp3,Which sound event starts earliest in the given audio?,Button Press,Laughter,Monkey sounds,Car Honking,B
639477.mp3,Which sound event starts earliest in the given audio?,Elevator,Crying,Raining,Airplane sound,C
113340.mp3,Which sound event starts earliest in the given audio?,Phone Ringing,Fire burning,Alarm sound,Machine sounds,D
659559.mp3,Which sound event starts earliest in the given audio?,Car driving by,Cowbell Ringing,Machine sounds,Security Alarm,A
410757.mp3,Which sound event starts earliest in the given audio?,Water Dripping,Door sounds,Vehicle braking,Footsteps,B
71337.mp3,Which sound event starts earliest in the given audio?,Human Speech,Saxophone,Siren,Helicopter sound,C
455027.mp3,Which sound event starts earliest in the given audio?,Traffic Noise,Chainsaw,Wind,Bird Chirp,D
151005.mp3,Which sound event starts earliest in the given audio?,Power Drill,Bell Ringing,Wood sounds,Footsteps,A
262954.mp3,Which sound event starts earliest in the given audio?,Button Press,Human Speech,Phone Dialing,Dog Barking,B
429178.mp3,Which sound event starts earliest in the given audio?,Monotone Sounds,Vacuum Cleaner,Raining,Ship_Boat sound,C
182734.mp3,Which sound event starts earliest in the given audio?,Rooster Crow,Monotone Sounds,Whistle,Piano Playing,D
615244.mp3,Which sound event starts earliest in the given audio?,Stream_River,Cowbell Ringing,Alarm sound,Atmospheric Sounds,A
733976.mp3,Which sound event starts earliest in the given audio?,Fire burning,Vehicle Horn Honk,Bird Chirp,Bell Ringing,B
159745.mp3,Which sound event starts earliest in the given audio?,Car driving by,Card Reader,Siren,Thunder,C
497120.mp3,Which sound event starts earliest in the given audio?,Motorcycle driving by,Bird Chirp,Trumpet,Clapping,D
460346.mp3,Which sound event starts earliest in the given audio?,Insect Buzzing,Thunder,Microwave,Atmospheric Sounds,A
129532.mp3,Which sound event starts earliest in the given audio?,Elevator,Drums,Distant Sounds,Cow Moo,B
646648.mp3,Which sound event starts earliest in the given audio?,Rattling,Bus sound,Piano Playing,Human Speech,C
348152.mp3,Which sound event starts earliest in the given audio?,Cowbell Ringing,Atmospheric Sounds,Phone Ringing,Raining,D
